Sample;Ch4
774;-0.2600025236606598
775;-0.25268206000328064
776;-0.25242963433265686
777;-0.24687618017196655
778;-0.24763347208499908
779;-0.23703141510486603
780;-0.23804113268852234
781;-0.22996339201927185
782;-0.22415751218795776
783;-0.22289536893367767
784;-0.2203710675239563
785;-0.21557490527629852
786;-0.2125457525253296
787;-0.20169126987457275
788;-0.20244856178760529
789;-0.1966426819562912
790;-0.19159409403800964
791;-0.19386595487594604
792;-0.18275904655456543
793;-0.18149690330028534
794;-0.17543859779834747
795;-0.17493373155593872
796;-0.17139971256256104
797;-0.1729142963886261
798;-0.17089486122131348
799;-0.16130253672599792
800;-0.16433168947696686
801;-0.15978795289993286
802;-0.15953552722930908
803;-0.14666160941123962
804;-0.1514577716588974
805;-0.1514577716588974
806;-0.14969077706336975
807;-0.14666160941123962
808;-0.14489459991455078
809;-0.14161302149295807
810;-0.14489459991455078
811;-0.14640918374061584
812;-0.14716647565364838
813;-0.144642174243927
814;-0.14085572957992554
815;-0.144642174243927
816;-0.1436324566602707
817;-0.1433800309896469
818;-0.14716647565364838
819;-0.14287516474723816
820;-0.15171021223068237
821;-0.14312760531902313
822;-0.15171021223068237
823;-0.15221506357192993
824;-0.1547393649816513
825;-0.14716647565364838
826;-0.15221506357192993
827;-0.15120534598827362
828;-0.1570112258195877
829;-0.1570112258195877
830;-0.15953552722930908
831;-0.16130253672599792
832;-0.16332197189331055
833;-0.16306954622268677
834;-0.16357439756393433
835;-0.1650889813899994
836;-0.171652153134346
837;-0.16786570847034454
838;-0.16357439756393433
839;-0.17543859779834747
840;-0.1696327030658722
841;-0.1751861572265625
842;-0.17947746813297272
843;-0.1840212047100067
844;-0.18578821420669556
845;-0.18477848172187805
846;-0.18452605605125427
847;-0.18730278313159943
848;-0.1920989453792572
849;-0.19235137104988098
850;-0.19689510762691498
851;-0.19613781571388245
852;-0.20648743212223053
853;-0.20244856178760529
854;-0.20522528886795044
855;-0.20951658487319946
856;-0.2125457525253296
857;-0.214817613363266
858;-0.2180992066860199
859;-0.22390508651733398
860;-0.22289536893367767
861;-0.22794395685195923
862;-0.23223525285720825
863;-0.23223525285720825
864;-0.23602169752120972
865;-0.23905086517333984
866;-0.2496529072523117
867;-0.24839074909687042
868;-0.24889561533927917
869;-0.2496529072523117
870;-0.2600025236606598
871;-0.2562160789966583
872;-0.2632841169834137
873;-0.2645462453365326
874;-0.2690899968147278
875;-0.2703521251678467
876;-0.2789347469806671
877;-0.2839833199977875
878;-0.28221631050109863
879;-0.28322604298591614
880;-0.2834784686565399
881;-0.2872649133205414
882;-0.2925659418106079
883;-0.2993815541267395
884;-0.29433295130729675
885;-0.3064495623111725
886;-0.3059447109699249
887;-0.3064495623111725
888;-0.3120030164718628
889;-0.31149816513061523
890;-0.3155370354652405
891;-0.3120030164718628
892;-0.3162943124771118
893;-0.31907105445861816
894;-0.32487693428993225
895;-0.32386720180511475
896;-0.32386720180511475
897;-0.33043038845062256
898;-0.3332071006298065
899;-0.3319449722766876
900;-0.3266439437866211
901;-0.33497411012649536
902;-0.33749842643737793
903;-0.33497411012649536
904;-0.3344692587852478
905;-0.33724597096443176
906;-0.3387605547904968
907;-0.3445664346218109
908;-0.3425469994544983
909;-0.3445664346218109
910;-0.34986746311187744
911;-0.34507131576538086
912;-0.34305185079574585
913;-0.34532374143600464
914;-0.3445664346218109
915;-0.3458285927772522
916;-0.3390129804611206
917;-0.3445664346218109
918;-0.34204214811325073
919;-0.34279942512512207
920;-0.33724597096443176
921;-0.33724597096443176
922;-0.3357314169406891
923;-0.3347216844558716
924;-0.3321973979473114
925;-0.3241196572780609
926;-0.3263915181159973
927;-0.3233623504638672
928;-0.3221001923084259
929;-0.3173040449619293
930;-0.3087214231491089
931;-0.3109933137893677
932;-0.3059447109699249
933;-0.30569228529930115
934;-0.30443012714385986
935;-0.2895367741584778
936;-0.29206109046936035
937;-0.28625521063804626
938;-0.28196388483047485
939;-0.27388614416122437
940;-0.27641043066978455
941;-0.2700996994972229
942;-0.26606082916259766
943;-0.2632841169834137
944;-0.25596365332603455
945;-0.24940046668052673
946;-0.250662624835968
947;-0.24712860584259033
948;-0.23374983668327332
949;-0.23147797584533691
950;-0.22996339201927185
951;-0.22516722977161407
952;-0.21784676611423492
953;-0.2125457525253296
954;-0.21103116869926453
955;-0.20522528886795044
956;-0.19967183470726013
957;-0.19134165346622467
958;-0.1920989453792572
959;-0.19184651970863342
960;-0.17947746813297272
961;-0.18048718571662903
962;-0.17771045863628387
963;-0.1739240139722824
964;-0.16988514363765717
965;-0.1673608422279358
966;-0.16205982863903046
967;-0.16180738806724548
968;-0.15978795289993286
969;-0.1547393649816513
970;-0.15423449873924255
971;-0.14842861890792847
972;-0.1423703134059906
973;-0.1481761932373047
974;-0.140098437666893
975;-0.14161302149295807
976;-0.140098437666893
977;-0.1355547159910202
978;-0.13429255783557892
979;-0.13151583075523376
980;-0.13277798891067505
981;-0.13126340508460999
982;-0.12924396991729736
983;-0.13631199300289154
984;-0.13176827132701874
985;-0.13378770649433136
986;-0.13378770649433136
987;-0.13176827132701874
988;-0.1368168592453003
989;-0.1355547159910202
990;-0.1355547159910202
991;-0.13631199300289154
992;-0.13807900249958038
